hour,load_0,load_8,load_10,load_15,load_18,load_19,load_20,load_21,load_22,load_23,load_24,load_25,load_26,load_27,load_28,load_29,load_30,load_31,load_32,load_33,load_34
10,9.071370000000002,9.071370000000002,2.9312250000000004,3.0346800000000003,0.16725225000000002,0.13627625000000002,0.26954825000000004,0.27508593750000004,0.16505156250000003,0.33157025,0.046282500000000004,0.30432364285714286,0.050720607142857144,0.2975303571428572,0.049588392857142866,0.28755650000000005,0.04114000000000001,0.19952900000000004,0.020570000000000005,0.12617275,0.20055750000000003
11,9.566172,9.566172,3.09111,3.200208,0.17637509999999998,0.14370950000000002,0.2753927,0.29009062500000005,0.174054375,0.34965589999999996,0.048807,0.32092311428571424,0.05348718571428571,0.3137592857142857,0.05229321428571428,0.3032414,0.043384000000000006,0.21041240000000003,0.021692000000000003,0.1330549,0.21149700000000002
12,9.896040000000001,9.896040000000001,3.1976999999999998,3.31056,0.18245699999999998,0.14866500000000002,0.284889,0.30009375000000005,0.18005625000000003,0.36171299999999995,0.05049,0.33198942857142855,0.055331571428571424,0.32457857142857144,0.06509642857142857,0.31369800000000003,0.04488,0.21766800000000003,0.02244,0.137643,0.21879
13,10.225908,10.225908,3.30429,3.4209120000000004,0.1885389,0.15362050000000002,0.2943853,0.31009687500000005,0.18605812500000002,0.3807701,0.052173000000000004,0.34305574285714285,0.05717595714285714,0.33539785714285714,0.06449964285714287,0.3337778284189214,0.0477527715810786,0.22492360000000003,0.023188000000000004,0.1422311,0.22608300000000003
14,10.72071,10.72071,3.464175,3.5864400000000005,0.19766175,0.16105375000000002,0.31962975000000005,0.32510156250000005,0.19506093750000003,0.39437575,0.06281750000000001,0.3596552142857143,0.07094253571428571,0.36262678571428575,0.05860446428571429,0.35908595683784283,0.0513735431621572,0.23580700000000004,0.024310000000000005,0.14911325,0.23702250000000002
15,11.54538,11.54538,3.73065,3.86232,0.21892779160853099,0.178381208391469,0.3331305,0.350109375,0.224985625,0.42311849999999995,0.065905,0.38732099999999997,0.0675535,0.400515,0.0811125,0.3852274568378428,0.05511354316215719,0.26494600000000007,0.027860000000000003,0.16907919484307007,0.2687593051569299
16,12.534984000000001,12.534984000000001,4.05042,4.193376000000001,0.24550501243771178,0.20003618756228825,0.3718594,0.40119875000000005,0.25007125,0.45816979999999996,0.09407400000000002,0.42051994285714284,0.07008665714285714,0.4331328571428572,0.09120214285714287,0.41421769490152777,0.05926110509847231,0.28151280000000006,0.042144,0.17688106173502452,0.2811607382649755
17,13.524588,13.524588,4.37019,4.524432,0.2825076548335659,0.23018574516643414,0.4066283,0.44744812500000003,0.26775687500000006,0.5465810999999999,0.09588300000000001,0.47087888571428566,0.08961981428571428,0.4674307142857143,0.08493178571428571,0.4818408208724462,0.06893577912755385,0.29747960000000007,0.04774800000000001,0.19408997982594206,0.30851512017405797
18,14.514192000000001,14.514192000000001,4.68996,4.855488,0.29923252166633446,0.24381307833366556,0.43695720000000005,0.48353750000000006,0.27324250000000005,0.5653924,0.09237200000000001,0.5379178285714286,0.10523297142857144,0.5182885714285714,0.10306142857142858,0.4980584103073809,0.07125598969261919,0.3555264,0.048592,0.20936805817979817,0.3328003418202019
19,14.84406,14.84406,4.79655,4.965840000000001,0.30703362437711784,0.2501693756228822,0.4634535000000001,0.4770206250000001,0.28808437500000006,0.6040895000000001,0.08973500000000001,0.5579841428571428,0.10715735714285715,0.5573878571428572,0.09514464285714286,0.5367548115221793,0.07679218847782074,0.37734200000000007,0.04822000000000001,0.22174130399962966,0.3524681960003704
20,14.349258,14.349258,4.636665,4.800312000000001,0.2817326360474387,0.22955426395256132,0.45264905,0.45933593750000007,0.28880156250000005,0.55592385,0.0838505,0.5273446714285714,0.1042307785714286,0.5106389285714286,0.09095982142857145,0.4975542406221241,0.07118385937787595,0.3587786000000001,0.04353800000000001,0.2206980133645033,0.35080983663549675
21,13.524588,13.524588,4.37019,4.524432,0.2549342882798485,0.2077191117201515,0.4218283,0.417128125,0.28227687500000004,0.5024211,0.076003,0.46847888571428564,0.09361981428571428,0.4635907142857143,0.07393178571428571,0.4464273402908154,0.06386925970918463,0.31223960000000006,0.04150800000000001,0.1983223805295806,0.31524271947041943
22,12.864852,12.864852,4.1570100000000005,4.303728,0.2371941,0.19326450000000003,0.3827957,0.39712187500000007,0.24343312500000006,0.4702269,0.072357,0.44690625714285714,0.07969104285714286,0.4219521428571429,0.07032535714285715,0.40780740000000004,0.058344000000000014,0.2840884000000001,0.029172000000000007,0.18200979686140173,0.2893131031385983
23,12.205116,12.205116,3.94383,4.083024,0.2250303,0.18335350000000003,0.3650831,0.3734756250000001,0.222069375,0.4461127,0.062271,0.4163736285714285,0.06824227142857142,0.40031357142857144,0.06671892857142857,0.3868942,0.055352000000000005,0.26845720000000006,0.038676,0.17419290803629295,0.2768877919637071
