hour,load_0,load_8,load_10,load_15,load_18,load_19,load_20,load_21,load_22,load_23,load_24,load_25,load_26,load_27,load_28,load_29,load_30,load_31,load_32,load_33,load_34
10,1.84202024231549,1.84202024231549,0.9634470662029131,0.9974510803041927,0.041917365076272445,0.0844564343963058,0.06544992090856573,0.06894303466492159,0.04136582079895296,0.08309933778278565,0.028683317342141586,0.07627069434930768,0.01271178239155128,0.18439275434233882,0.030732125723723136,0.07206845223639807,0.02549628208190363,0.0500066811436232,0.012748141040951814,0.03162187189964411,0.12429437514928021
11,1.9424940737145167,1.9424940737145167,1.0159987243594355,1.0518575028662394,0.04420376680770548,0.08906314899974066,0.0690199165944875,0.07270356382846277,0.04362213829707766,0.08763202893457395,0.030247861924440213,0.0804309140410881,0.013405152340181348,0.19445054094282999,0.03240842349047167,0.07599945872201978,0.026886988377280187,0.052734318296911734,0.013443494188640093,0.03334670127598833,0.13107406833924093
12,2.0094766279805345,2.0094766279805345,1.0510331631304506,1.0881284512409373,0.04572803462866084,0.09213429206869723,0.07139991371843535,0.07521058327082356,0.045126349962494136,0.09065382303576615,0.03129089164597263,0.08320439383560838,0.013867398972601395,0.20115573200982415,0.033525955334970686,0.07862012971243426,0.02781412590753123,0.05455274306577076,0.013907062953765615,0.03449658752688448,0.13559386379921476
13,2.0764591822465523,2.0764591822465523,1.0860676019014657,1.1243993996156354,0.0472523024496162,0.09520543513765381,0.07377991084238318,0.07771760271318434,0.046630561627910606,0.09367561713695836,0.032333921367505056,0.08597787363012865,0.014329645605021441,0.20786092307681828,0.03464348717946971,0.08124080070284874,0.02874126343778227,0.05637116783462978,0.014370631718891134,0.03564647377778063,0.1401136592591886
14,2.1769330136455793,2.1769330136455793,1.138619260057988,1.1788058221776823,0.04953870418104925,0.09981214974108868,0.07734990652830495,0.08147813187672552,0.048886879126035315,0.09820830828874667,0.03389846594980369,0.09013809332190909,0.015023015553651512,0.2179187096773095,0.03631978494621825,0.08517180718847045,0.030131969733158834,0.05909880498791832,0.015065984866579417,0.03737130315412485,0.14689335244914933
15,2.3443893993106237,2.3443893993106237,1.2262053569855256,1.2694831931144268,0.05334937373343765,0.10749000741348011,0.08329989933817457,0.08774568048262747,0.05264740828957649,0.10576279354172717,0.03650604025363474,0.09707179280820977,0.016178632134701627,0.23468168734479483,0.0391136145574658,0.09172348466450664,0.032449813558786435,0.06364486691006588,0.016224906779393217,0.040246018781365224,0.15819284109908388
16,2.5453370621086773,2.5453370621086773,1.3313086732985708,1.3782960382385208,0.057922177196303735,0.11670343662034983,0.09043989071001811,0.09526673880970983,0.057160043285825905,0.1148281758453038,0.039635129418232,0.10539223219177062,0.01756537203196177,0.2547972605457772,0.04246621009096287,0.09958549763575007,0.03523122614953956,0.06910014121664296,0.01761561307476978,0.04369567753405368,0.17175222747900537
17,2.7462847249067304,2.7462847249067304,1.4364119896116156,1.4871088833626145,0.062494980659169815,0.12591686582721956,0.09757988208186164,0.10278779713679219,0.061672678282075316,0.12389355814888041,0.042764218582829264,0.11371267157533145,0.018952111929221905,0.2749128337467596,0.04581880562445994,0.10744751060699348,0.038012638740292676,0.07455541552322004,0.019006319370146338,0.04714533628674212,0.18531161385892683
18,2.947232387704784,2.947232387704784,1.541515305924661,1.5959217284867082,0.0670677841220359,0.1351302950340893,0.10471987345370518,0.11030885546387455,0.06618531327832473,0.13295894045245704,0.04589330774742653,0.12203311095889229,0.020338851826482048,0.2950284069477421,0.04917140115795701,0.11530952357823691,0.0407940513310458,0.08001068982979712,0.0203970256655229,0.050594995039430574,0.19887100023884832
19,3.014214941970802,3.014214941970802,1.576549744695676,1.6321926768614061,0.06859205194299127,0.13820143810304586,0.10709987057765302,0.11281587490623533,0.06768952494374121,0.13598073455364923,0.04693633746895896,0.12480659075341256,0.020801098458902094,0.3017335980147362,0.050288933002456036,0.11793019456865139,0.041721188861296846,0.08182911459865615,0.020860594430648423,0.05174488129032672,0.20339079569882215
20,2.913741110571775,2.913741110571775,1.5239980865391534,1.5777862542993593,0.06630565021155822,0.133594723499611,0.10352987489173125,0.10905534574269415,0.0654332074456165,0.13144804340186092,0.04537179288666032,0.12064637106163215,0.020107728510272024,0.29167581141424503,0.0486126352357075,0.11399918808302968,0.040330482565920284,0.0791014774453676,0.020165241282960142,0.0500200519139825,0.1966111025088614
21,2.7462847249067304,2.7462847249067304,1.4364119896116156,1.4871088833626145,0.062494980659169815,0.12591686582721956,0.09757988208186164,0.10278779713679219,0.061672678282075316,0.12389355814888041,0.042764218582829264,0.11371267157533145,0.018952111929221905,0.2749128337467596,0.04581880562445994,0.10744751060699348,0.038012638740292676,0.07455541552322004,0.019006319370146338,0.04714533628674212,0.18531161385892683
22,2.612319616374695,2.612319616374695,1.3663431120695857,1.4145669866132187,0.0594464450172591,0.11977457968930642,0.09281988783396596,0.09777375825207062,0.058664254951242376,0.117849969946496,0.04067815913976443,0.1081657119862909,0.018027618664381816,0.2615024516127714,0.0435837419354619,0.10220616862616454,0.0361583636797906,0.07091856598550199,0.0180791818398953,0.044845563784949825,0.1762720229389792
23,2.4783545078426594,2.4783545078426594,1.2962742345275557,1.3420250898638229,0.05639790937534837,0.11363229355139326,0.08805989358607026,0.09275971936734904,0.055655831620409435,0.11180638174411159,0.038592099696699585,0.10261875239725034,0.01710312539954172,0.2480920694787831,0.04134867824646385,0.0969648266453356,0.03430408861928851,0.06728171644778394,0.017152044309644256,0.042545791283157525,0.16723243201903154
